"product_code","product_class","manufacturer","model_name","product_name","unit","cost_price","reseller_price","list_price","detail_desc","memo","creator","create_date","modify_date","recent_user"
"000613A014469F41B5D6464F65AE8583","13. 3DEXPERIENCE Platform","",NBAP,Social Business Analyst & Project Planner Offer,"","0.0000","0.0000","5748000.0000","- Social Business Analyst
   Library
     뉴스, 웹 사이트 등에서 키워드 검색
   Feed Reader
     최신 컨텐츠 확인
  Social Analytics
     Insight 확보를 위해 정해진 영역에 대한 분석 및 비교
     주제, 언급되는 web상의 위치, 인물 등으로 Topic 분석
     데이터의 그래프화
  Metrics Reader
     그래프 비교
  Potion
     Dashboard를 수시 모니터링하지 않고 상황에 대한 능동적 대처
    트리거 조건 충족 시 자동 상호 작용

- Project Planning
   Project 생성 및 정의
   Project 진행 상황 실시간 Update
   Project Resource 및 업무 Drill-Down 보기
   업무 생성 및 기간 설정
   업무 담당자 지정
   마일 스톤(중요 시점) 및 작업 간 관계 정의
   Key 마일 스톤에 따른 일정 최적화
   프로젝트 별 멤버 지정
   프로젝트 산출물 및 참고 자료 관리
   업무 별 산출물 연결

- Collaborative Industry Innovator
   3D Markup
     언제든 어떤 장비로든 사용 가능한 웹 기반의 2D 및 3D 마크업
   Bookmark Editor
     컨텐츠와 문서 협업을 위한 북마크 생성 및 관리
   Chage Action
     변경 조치 생성, 할당, 관리를 통한 모든 관련 영역을 아우르는
     명확한 변경 결정 커뮤니케이션
   Collaborative Lifecycle
     제품 컨텐츠의 생성, 검토, 출도, 폐기 단계를 관리 및 캡처
   Compare
     두 모델을 비교하여  차이점을 찾기 위한 손쉬운 비교
   3D Space
     협업 공간 생성, 관리, 멤버 추가 및 저장된 컨텐츠에 바로 접근
   Issue 3D Review
     3D 모델의 맥락에서 제품의 문제 식별 및 분석
   Issue Management
     제품의 문제를 팀 구성원들 간 생성, 구성 및 전달
   Product Explorer
     3D 시각화 및 트리 구조화를 통한 컨텐츠 탐색
   Route Management
     3D Dashboard 내 승인 경로 생성 및 관리

- Collaborative Business Innovator
  3D Dashboard
    업무 최적화를 위해 필요한 기능(app) 구성 가능
    실시간으로 다른 팀원들 진행 상황 모니터링
  3D Swym
    공지사항 포스팅
    작업 지시
    기술 문서 공유 및 관리
  3D Drive
    안전한 데이터 공유 가능
    링크 통해 외부 인원과 공유
    SOLIDWORKS 데이터를 통합하여 다이렉트로 오픈 가능
  3D Play
    3D 모델 데이터 뷰어
    CAD 없이 웹 브라우저를 통하여 언제든지 접근 가능
    측정, 주석, 마크업 추가하여 상세한 리뷰 가능
  3D Search and 6WTags
    데이터 특성에 따라 원하는 데이터를 쉽게 검색","",admin,2020-10-15 00:00:00.000,2020-10-15 00:00:00.000,admin
"004ED42881368A4C89D211350C3BCDEF","00.Subscription Service","",Flow Simulation Electronic Module Subscription Ser,SOLIDWORKS Flow Simulation Electronic Module Subsc,"","0.0000","0.0000","1100000.0000","","",ksehee,2015-02-10 00:00:00.000,2015-02-10 00:00:00.000,ksehee
"00C4254E43FFFE41A631CB28073453AC","12.전략제품(보안)",InfoTrend,Eon NAS 1000 Series,Eon NAS 1012 Model,system,"8500000.0000","0.0000","0.0000"," Processor : One (1) Intel Core i3 Dual-Core 3.3GHz CPU 
 Disk Bay : 12Bay  
 HDD : 8ea ( 2TB SATA * 8 ) 
 Capacity : Usable 10TB 
 Memory : 4GB 
 Interface : 1GbE * 2ea 
 Power Supply : Two Redundant 330W 
 Form factor : 2U , 19inch 
 RAID Level : 0,1,5 
 Protocol Support :  CIFS/ SMB, AFP, NFS, HTTP, 
                            HTTPS,  FTP,NDMP
 OS Support : Windows Server 2003,
                    Windows Server 2008 R2 (Including Hyper-V)
                    Red Hat, SUSE, Sun Solaris, VMware,
                    Citrix XenDesktop / XenServer

                    Mac OS X
","",ktkim,2014-05-12 00:00:00.000,2014-05-12 00:00:00.000,ktkim
"0155552EDE3FC74FA0F3C6D29DF2D76A","05.PDMWorks Enterprise 관련","SolidWorks Co., LTD.",Enterprise PDM,SolidWorks Enterprise PDM 2014 Process for 25 User,"","0.0000","0.0000","0.0000","","",ksllkd,2014-04-25 00:00:00.000,2014-04-25 00:00:00.000,ksllkd
"01BFF1ABCAB2504AADB53C6E7A95ACFB","08.기타","",SolidWorks Disable,SolidWorks Subscription Service 이후 Disable,"","250000.0000","250000.0000","250000.0000",SolidWorks Maintenance 계약 종료 이후 고객의 사용권 활성화 서비스 비용,"",suuk,2011-02-09 00:00:00.000,2012-07-18 00:00:00.000,ckjung
"021FC10DA24358468AD0FBF2A0C8DCCF","13. 3DEXPERIENCE Platform","",XWCO,"3DEXPERIENCE SOLIDWORKS Premium Offer","","0.0000","0.0000","8196000.0000","- 3D Sculptor
   xShape
    서브디비전 모델링 기법
    복잡한 곡면 설계 가능
    산업 디자인용 색상표 이용하여 다양한 색상 정의

- 3D Creator
  xDesign
    Web상 3D Modeling Tool
    파라메트릭 모델링 기법

- 3DEXPERIENCE SOLIDWORKS Premium
    Proffesional기능 + 추가 기능
    곡면 전개, 배관 및 배선 (Routing)


- SOLIDWORKS Visualize Connected
   고급 실사적 렌더링


- 3DEXPERIENCE SOLIDWORKS Simulation Designer
    시간 기반 모션 해석 (with SOLIDWORKS Motion App)
    선형 정적 해석 (with SOLIDWORKS Simulation App)_Solid, Shell, Beam 및 Truss Mesh
    Part, Assembly 시뮬레이션
    분산 및 집중 질량
    합력 및 부품 변위 플롯
    Von-Mises 응력, 주응력, 부품 응력 플롯
    주요 변형, 부품 변형, 변형 에너지 밀도 플롯
    다축 응력 하중 기반 볼트 및 핀 하중 계산
    모션해석결과 산출

- Collaborative Industry Innovator
   3D Markup
     언제든 어떤 장비로든 사용 가능한 웹 기반의 2D 및 3D 마크업
   Bookmark Editor
     컨텐츠와 문서 협업을 위한 북마크 생성 및 관리
   Chage Action
     변경 조치 생성, 할당, 관리를 통한 모든 관련 영역을 아우르는
     명확한 변경 결정 커뮤니케이션
   Collaborative Lifecycle
     제품 컨텐츠의 생성, 검토, 출도, 폐기 단계를 관리 및 캡처
   Compare
     두 모델을 비교하여  차이점을 찾기 위한 손쉬운 비교
   3D Space
     협업 공간 생성, 관리, 멤버 추가 및 저장된 컨텐츠에 바로 접근
   Issue 3D Review
     3D 모델의 맥락에서 제품의 문제 식별 및 분석
   Issue Management
     제품의 문제를 팀 구성원들 간 생성, 구성 및 전달
   Product Explorer
     3D 시각화 및 트리 구조화를 통한 컨텐츠 탐색
   Route Management
     3D Dashboard 내 승인 경로 생성 및 관리

- Collaborative Business Innovator
  3D Dashboard
    업무 최적화를 위해 필요한 기능(app) 구성 가능
    실시간으로 다른 팀원들 진행 상황 모니터링
  3D Swym
    공지사항 포스팅
    작업 지시
    기술 문서 공유 및 관리
  3D Drive
    안전한 데이터 공유 가능
    링크 통해 외부 인원과 공유
    SOLIDWORKS 데이터를 통합하여 다이렉트로 오픈 가능
  3D Play
    3D 모델 데이터 뷰어
    CAD 없이 웹 브라우저를 통하여 언제든지 접근 가능
    측정, 주석, 마크업 추가하여 상세한 리뷰 가능
  3D Search and 6WTags
    데이터 특성에 따라 원하는 데이터를 쉽게 검색","",admin,2020-10-15 00:00:00.000,2022-01-18 00:00:00.000,admin
"02402B0C86AC8B4FA57B923C26664685","12.전략제품(보안)",이스트소프트,시큐어디스크,시큐어디스크 기업용 솔루션 (100 User license),"","0.0000","0.0000","47000000.0000","  - 데몬
    - 인증 및 운영용 데몬
    - 파일 서버 제어용 데몬
  - 문서
    - Database Layout
    - 관리자용 매뉴얼","",sjh,2014-08-13 00:00:00.000,2014-08-13 00:00:00.000,sjh
"02A1C57E8B684B49967A492CD85C05DB","12.전략제품(보안)",이스트소프트,시큐어디스크,시큐어디스크 엔지니어 현장 구축 지원 (5 days),"","0.0000","0.0000","0.0000","정책설정 지원
관리자, 사용자 교육","",sjh,2014-08-06 00:00:00.000,2014-08-06 00:00:00.000,sjh
"0313BA36ABB3094FBC73B4EA5F0859AC","01.SolidWorks 관련","","",SOLIDWORKS Composer Player Pro2014,"","0.0000","0.0000","0.0000","","",ksllkd,2014-05-15 00:00:00.000,2014-05-15 00:00:00.000,ksllkd
"03CC0882B3F67B4B912505761E27B49C","02.해석 제품",Dassault Systemes SolidWorks Corp.,SolidWorks Simulation Professional 교재 (영문),SolidWorks Simulation Professional 교재 (영문),권,"0.0000","0.0000","50000.0000"," Introduction, Lesson 1. Frequency Analysis of Parts, Lesson 2. Frequency Analysis of Assemblies, Lesson 3. Buckling Analysis, Lesson 4. Thermal Analysis, Lesson 5. Thermal Analysis with Radiation, Lesson 6. Advanced Thermal Stress Analysis, Lesson 7. Fatigue Analysis, Lesson 8. Advanced Fatigue Analysis, Lesson 9. Drop Test Analysis, Lesson 10. Optimization Analysis, Lesson 11. Pressure Vessel Analysis","",shpark,2010-12-09 00:00:00.000,2015-02-05 00:00:00.000,admin
